Expression,Left Eye Height,Right Eye Height,Left Eyebrow Height,Right Eyebrow Height,LeftEyebrow to Eye Distance,RightEyebrow to Eye Distance,MouthHeight,Timestamp
Scared,15.033296,14.142136,17.262677,16.155494,56.302753,50.487622,32.537652,27.563000ms,
Surprised,14.142136,14.142136,18.248288,16.155494,57.140179,49.365980,41.000000,27.723000ms,
Surprised,14.000000,14.035669,17.117243,17.000000,56.302753,49.365980,41.531450,27.853000ms,
Surprised,15.132746,13.038405,19.104973,16.155494,56.302753,49.497475,39.526543,28.015000ms,
Surprised,15.033296,13.038405,18.248288,16.155494,56.302753,49.497475,41.535888,28.166000ms,
Surprised,15.033296,13.152946,18.248288,16.552945,56.035703,48.373546,40.526499,28.295000ms,
Surprised,15.033296,13.152946,18.439089,16.552945,56.035703,48.373546,40.526499,28.445000ms,
Surprised,15.033296,13.038405,18.110770,16.155494,55.470713,48.507731,41.535257,28.568000ms,
Surprised,15.033296,13.152946,19.235384,17.464249,54.644304,49.254441,42.535214,28.715000ms,
Surprised,14.000000,13.038405,17.464249,16.552945,55.758407,50.487622,43.000000,28.852000ms,
Doubt,13.038405,13.152946,16.278821,15.231546,53.823787,44.553339,46.538001,29.018000ms,
Neutral,12.041595,9.000000,17.117243,15.652476,49.929951,44.553339,24.000000,29.177000ms,
Happy,7.071068,8.000000,19.416488,17.464249,50.606324,43.566042,32.987778,29.306000ms,
Happy,8.062258,7.000000,20.615528,18.384776,50.606324,45.541190,35.478779,29.465000ms,
Happy,7.071068,7.071068,20.615528,18.384776,50.606324,45.541190,37.966249,29.572000ms,
Happy,6.082763,6.000000,19.646883,16.552945,50.606324,44.283180,41.500407,29.729000ms,
Happy,6.000000,6.082763,20.615528,17.888544,52.009614,45.276926,40.451462,29.857000ms,
Happy,7.071068,6.082763,21.587033,18.788294,51.400389,44.407207,39.489155,30.023000ms,
Happy,7.000000,7.000000,20.880613,18.027756,53.413481,45.398238,37.935256,30.165000ms,
Happy,7.071068,8.000000,19.646883,17.888544,51.400389,45.398238,34.986957,30.288000ms,
Happy,8.000000,8.000000,19.646883,17.888544,51.613952,46.389654,32.929479,30.449000ms,
Neutral,11.000000,11.000000,17.262677,15.652476,51.613952,45.398238,22.489115,30.571000ms,
Scared,10.198039,9.000000,22.803509,17.464249,62.968246,58.137767,20.445160,30.712000ms,
Sad,10.000000,10.049876,19.646883,15.811388,56.603887,53.600373,16.424211,30.853000ms,
Scared,11.000000,14.000000,19.646883,17.888544,58.830264,53.600373,17.476144,31.031000ms,
Sad,12.000000,12.000000,18.439089,16.155494,56.938563,51.478151,15.927705,31.175000ms,
Sad,12.000000,13.000000,18.439089,15.231546,56.080300,50.635956,16.000000,31.350000ms,
Sad,12.041595,13.000000,18.248288,15.811388,54.708317,51.478151,16.933193,31.527000ms,
Sad,13.038405,13.000000,19.104973,16.155494,56.938563,49.497475,18.474236,31.668000ms,
Sad,12.041595,12.041595,18.439089,17.464249,56.080300,52.345009,18.480073,31.833000ms,
Scared,12.041595,12.041595,19.416488,17.464249,56.938563,52.345009,23.930978,32.021000ms,
Scared,14.142136,12.000000,19.416488,17.088007,56.080300,51.478151,22.479768,32.167000ms,
Scared,13.038405,12.165525,20.396078,17.088007,59.169249,52.345009,23.473864,32.363000ms,
Scared,13.000000,14.035669,19.416488,16.552945,60.901560,54.744863,17.466060,32.536000ms,
Scared,16.000000,15.033296,20.396078,18.027756,58.668561,54.744863,16.474385,32.684000ms,
